ParkingZone,OnStreet,StreetFrom,StreetTo,Segment_ID
7617,Queen Street,Therry Street,Victoria Street,23247
7632,Russell Street,MacKenzie Street,Victoria Street,21615
7641,Russell Street,La Trobe Street,MacKenzie Street,21616
7664,St Kilda Road,Moubray Street,High Street,22478
7683,Victoria Street,Lygon Street,Cardigan Street,21605
7688,Wellington Parade South,Wellington Crescent,Flinders Street,22630
7705,Wills Street,La Trobe Street,A'Beckett Street,21521
7733,Errol Street,Victoria Street,Queensberry Street,20992
7753,Victoria Street,Errol Street,Curzon Street,20994
7776,College Crescent,Royal Parade,Cemetery Road West,22599
7785,Flemington Road,Murphy Street,Harker Street,22312
7804,The Avenue,Ievers Street,Park Street,22392
7832,Dodds Street,Miles Street,Grant Street,22462
7858,Miles Street,Sturt Street,Moore Street,22120
7887,St Kilda Road,Wadey Street,Anzac Avenue,22702
7904,Wells Street,Grant Street,Miles Street,22106
7915,Batman Street,Spencer Street,King Street,21516
7935,Jeffcott Street,Adderley Street,Spencer Street,21501
7950,Railway Place,Rosslyn Street,Stanley Street,21541
7964,Rosslyn Street,Adderley Street,Spencer Street,21479
7029,Cardigan Street,Pelham Street,Argyle Place North,20509
7031,Cardigan Street,Cardigan Street,Argyle Place North,20511
7031,Cardigan Street,Pelham Street,Argyle Place North,20509
7034,Cardigan Street,Grattan Street,Faraday Street,20514
7035,Cardigan Street,Victoria Street,Queensberry Street,20504
7043,Cardigan Street,Victoria Street,Queensberry Street,20504
7044,Faraday Street,Cardigan Street,Swanston Street,20812
7069,Lygon Street,Grattan Street,Faraday Street,20532
7081,Nicholson Street,Victoria Street,Carlton Street,22501
7113,Rathdowne Street,Queensberry Street,Pelham Street,20556
7119,Swanston Street,Lincoln Square North,Grattan Street,20488
7111,Rathdowne Street,Pelham Street,Grattan Street,20558
7134,Victoria Street,Cardigan Street,Swanston Street,21607
7135,Victoria Street,Swanston Street,Bouverie Street,21623
7157,Caravel Lane,Rakaia Way,Aquitania Way,22781
7180,Docklands Drive,Pearl River Road,Docklands Drive,23256
7190,Collins Street,Swanston Street,Elizabeth Street,20112
7195,Docklands Drive,Harbour Esplanade,Saint Mangos Lane,22439
7204,Harbour Esplanade,McCrae Street,Collins Street,22954
7209,Leven Avenue,Pearl River Road,Wattle Road,23277
7219,Siddeley Street,Spencer Street,Wurundjeri Way,22445
7239,Albert Street,Lansdowne Street,Eades Street,20893
7245,Albert Street,Nicholson Street,Gisborne Street,20889
7251,Eades Street,Victoria Parade,Albert Street,20897
7267,Seafarer Lane,Collins Street,Australian Wharf,23343
7269,Parliament Place,St Andrews Place,Gisborne Street,21852
7274,Spring Street,Little Lonsdale Street,Victoria Parade,21847
7282,Brentani Way,Village Street,Georgiana Street,22895
7287,Victoria Parade,Hoddle Street,Simpson Street,22000
7298,Wellington Parade,Clarendon Street,Jolimont Road,21963
7299,Wellington Parade,Lansdowne Street,Spring Street,21967
7305,Wellington Parade South,Charles Street,Agnes Street,21989
7306,A'Beckett Street,Elizabeth Street,Queen Street,21649
7309,A'Beckett Street,Wills Street,Queen Street,21524
7339,Bourke Street,Queen Street,William Street,20086
7371,Domain Road,Dallas Brooks Drive,Domain Street,22223
7379,Elizabeth Street,Little Bourke Street,Lonsdale Street,20167
7381,Elizabeth Street,Flinders Lane,Collins Street,20163
7408,Exhibition Street,La Trobe Street,Victoria Street,21600
7434,Flinders Street,Elizabeth Street,Queen Street,20216
7425,Flinders Lane,William Street,King Street,20135
7468,High Street,St Kilda Road,Punt Road,22479
7476,King Street,Flinders Lane,Collins Street,20189
7482,King Street,Little Bourke Street,Lonsdale Street,20193
7508,Little Collins Street,Russell Street,Swanston Street,20095
7514,Little Bourke Street,Swanston Street,Elizabeth Street,20055
7520,Elizabeth Street,Victoria Street,Queensberry Street,21113
7532,Little Collins Street,William Street,King Street,20103
7550,Little Lonsdale Street,Russell Street,Swanston Street,20038
7554,Lonsdale Street,Elizabeth Street,Queen Street,20009
7594,Queen Street,Bourke Street,Little Bourke Street,20174
7596,Queen Street,Flinders Lane,Collins Street,20171
7599,Queen Street,Flinders Street,Flinders Lane,20170
7603,Lonsdale Street,Swanston Street,Elizabeth Street,20007
7616,Queen Street,Therry Street,Victoria Street,23247
7614,Queen Street,Little Lonsdale Street,La Trobe Street,20177
7634,Russell Street,Little Bourke Street,Lonsdale Street,20151
7645,Spring Street,Little Collins Street,Bourke Street,20202
7649,Spring Street,Lonsdale Street,Little Lonsdale Street,21848
7651,St Kilda Road,Wadey Street,Anzac Avenue,22702
7666,St Kilda Road,Slater Street,Armadale Street,22474
7657,St Kilda Road,Armadale Street,Commercial Road,22476
7669,St Kilda Road,Toorak Road,Slater Street,22472
7680,Victoria Street,Cardigan Street,Swanston Street,21607
7711,Bedford Street,Courtney Street,Peel Street,21120
7716,Cobden Street,Princess Street,Queensberry Street,20939
7717,Chetwynd Street,Victoria Street,Queensberry Street,20964
7719,Peel Street,Queensberry Street,Elizabeth Street,21117
7783,Flemington Road,Gatehouse Street,Abbotsford Street,21257
7786,Gatehouse Street,Gatehouse Street,Story Street,22338
7798,Royal Parade,Gatehouse Street,MacArthur Road,22438
7807,The Avenue,MacArthur Road,Gatehouse Street,22377
7830,Coventry Street,St Kilda Road,Wells Street,22103
7846,Grant Street,St Kilda Road,Wells Street,22082
7861,Miles Street,Wells Street,Dodds Street,22107
7857,Kavanagh Street,Sturt Street,Southbank Boulevard,22070
7864,Moore Street,Southbank Boulevard,Southern Link Road,22078
7883,St Kilda Road,St Kilda Road,Anzac Avenue,22703
7890,Sturt Street,Southbank Boulevard,Grant Street,22121
7894,Sturt Street,Sturt Street,Grant Street,22877
7895,Sturt Street,Grant Street,Miles Street,22767
7902,Wells Street,Grant Street,Miles Street,22106
7899,Wells Street,Coventry Street,Dorcas Street,22098
7911,Toorak Road,Leopold Street,Marne Street,22217
7911,Toorak Road,Marne Street,Walsh Street,22219
7914,Adderley Street,La Trobe Street,Jeffcott Street,21504
7924,Chetwynd Street,Stanley Street,Victoria Street,22661
7926,Batman Street,Spencer Street,King Street,21516
7930,Dudley Street,Adderley Street,Spencer Street,21483
7945,King Street,Rosslyn Street,Stanley Street,21427
7945,King Street,Stanley Street,Roden Street,21375
7954,Rosslyn Street,Railway Place,Adderley Street,21490
7965,Rosslyn Street,Adderley Street,Spencer Street,21479
7977,Stanley Street,Adderley Street,Spencer Street,21475
7000,Elliott Avenue,MacArthur Road,Kendall Avenue,22429
7012,Berkeley Street,Queensberry Street,Pelham Street,20472
7116,Rathdowne Street,Victoria Street,Queensberry Street,20554
7160,Saint Mangos Lane,Docklands Drive,Caravel Lane,22779
7188,Collins Street,Sailmaker Way,North Wharf Road,23378
7197,Geographe Street,Bourke Street,Keera Way,23032
7252,Eades Street,Victoria Parade,Albert Street,20897
7249,Spencer Street,Spencer Street Bridge,Flinders Street,22174
7262,Lansdowne Street,Lansdowne Street,St Andrews Place,21858
7285,Victoria Parade,Hoddle Street,Simpson Street,22000
7314,Elizabeth Street,Franklin Street,Therry Street,21631
7354,Collins Street,King Street,Spencer Street,20120
7373,Collins Street,William Street,King Street,20118
7387,Elizabeth Street,A'Beckett Street,Franklin Street,21639
7393,Elizabeth Street,Queensberry Street,Pelham Street,21115
7451,Flinders Street,Russell Street,Swanston Street,20212
7471,King Street,Bourke Street,Little Bourke Street,20192
7497,La Trobe Street,Exhibition Street,Russell Street,20018
